climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
9920,50.6167,8.6333,WW,270,15,212,,253,291,190,222
9923,50.5333,8.5,WW,279,16,217,,273,295,207,232
9925,50.675,8.7067,WW,258,11,213,,115,278,206,222
9942,50.45,7.2167,WW,269,7,216,,263,277,203,238
9954,50.6833,7.6833,WW,278,12,213,,267,299,196,228
9955,50.7333,7.9667,WW,259,4,223,,254,262,218,226
9956,50.7167,7.9833,WW,269,3,228,,263,278,226,235
9968,49.6333,7.2833,WW,287,7,220,,278,296,195,232
9975,49.75,7.3,WW,281,8,214,,276,293,200,222
9993,49.8833,7.8,WW,287,16,205,,266,300,188,222
9996,49.7833,7.65,WW,281,10,219,,265,293,209,224
10000,49.8667,7.65,WW,278,16,211,,272,292,199,219
10010,50.3,7.1667,WW,282,16,220,,273,291,199,231
10015,50.3333,7.3167,WW,274,16,210,,268,282,198,223
10024,50.5667,7.6167,WW,279,16,220,,266,303,207,234
10031,50.1667,7.55,WW,272,14,215,,265,286,198,231
10040,49.9833,7.6,WW,277,15,224,,267,297,207,235
10045,49.9667,7.3,WW,271,16,222,,266,278,208,246
10050,49.7333,6.65,WW,287,16,210,,283,295,186,227
10051,49.85,7.1167,WW,285,9,226,,268,294,218,248
10052,49.8833,7.2167,WW,284,16,229,,276,309,214,250
10059,49.8833,6.9667,WW,291,8,209,,280,304,201,213
10061,49.8333,7.3333,WW,277,16,216,,272,289,201,226
10067,49.9667,6.5,WW,282,13,221,,262,300,206,234
10077,50.2,6.8333,WW,278,8,228,,266,287,206,250
10086,50.3,6.7333,WW,280,15,234,,270,306,214,250
10091,50.2833,6.6333,WW,282,16,231,,274,298,217,251
10093,50.2,6.4167,WW,283,16,230,,278,292,216,240
10110,49.6167,6.4333,WW,281,16,213,,259,293,199,224
10117,49.7,6.9167,WW,287,16,220,,264,302,209,235
10122,49.8,6.7167,WW,291,8,209,,280,304,204,213
10130,49.9833,6.8833,WW,290,14,210,,282,300,196,227
10133,49.9833,6.7667,WW,284,3,222,,275,289,218,227
10140,50.5167,7.9167,WW,283,7,218,,269,293,200,241
10148,50.2333,7.8667,WW,278,15,216,,272,289,206,229
10149,50.1333,7.75,WW,283,16,217,,273,293,199,236
10151,50.1667,7.7333,WW,279,16,211,,270,309,197,219
10155,50.3,7.6,WW,283,4,220,,278,293,213,229
10164,50.2667,7.9833,WW,276,3,217,,272,278,211,221
10169,50.45,7.9833,WW,270,16,211,,262,283,197,230
10170,50.4333,7.8333,WW,271,16,217,,256,296,197,249
10176,49.6333,8.3667,WW,287,15,198,,278,295,185,225
10181,49.8333,8.0167,WW,288,12,206,,271,297,195,217
10187,49.9167,8.1333,WW,282,16,203,,271,293,195,214
10189,49.9333,8.1,WW,288,16,202,,275,303,182,218
10199,49.6667,8.2333,WW,294,16,201,,283,307,191,214
10216,49.0333,8,WW,286,15,203,,279,298,192,224
10218,49.5833,8.1667,WW,286,8,206,,273,302,189,222
10219,49.5,8.0333,WW,293,6,216,,280,309,200,229
10228,49.1167,8.15,WW,295,12,205,,278,314,193,219
10230,49.5,7.9167,WW,268,16,203,,258,281,189,226
10236,49.4667,7.5667,WW,282,12,217,,275,288,202,228
10237,49.5833,7.7,WW,277,6,214,,265,287,195,229
10238,49.5,7.7667,WW,283,16,212,,271,294,197,224
10239,49.3833,7.6333,WW,275,15,216,,254,288,193,239
10242,49.65,8.1,WW,279,15,208,,269,291,193,219
10243,49.6,8.05,WW,264,5,210,,255,274,206,216
10247,49.45,7.3167,WW,287,16,217,,278,292,205,230
10259,49.5667,7.6167,WW,281,10,215,,268,295,207,229
10261,49.2667,8.2167,WW,293,16,205,,287,304,196,213
10268,49.4571,8.2892,WW,287,16,208,,280,295,194,231
10283,49.1167,7.5667,WW,276,10,210,,264,289,199,223
10288,49.2939,7.6128,WW,274,16,212,,269,283,196,227
10295,49.5833,7.7667,WW,272,16,207,,264,279,195,225
10306,49.35,7.4167,WW,273,16,212,,259,284,197,227
10326,49.0167,10.2167,WW,279,16,215,,272,293,201,228
10329,48.8667,10.25,WW,289,6,225,,267,315,206,251
10330,48.75,10.3333,WW,272,16,222,,258,283,200,238
10331,48.8833,9.9667,WW,281,3,219,,264,301,212,226
10338,48.9333,9.3667,WW,292,6,208,,288,302,200,213
10340,48.9333,9.75,WW,282,7,228,,273,288,203,245
10341,48.9833,9.3667,WW,282,16,208,,266,295,192,226
10349,48.5167,8.8333,WW,292,3,217,,289,296,191,241
10353,48.7,9,WW,279,16,215,,272,289,198,233
10356,49.1333,10.0833,WW,277,3,221,,269,282,204,233
10358,49.1833,10.15,WW,291,3,227,,285,299,215,236
10360,49.25,9.95,WW,271,16,213,,267,278,200,232
10364,49.1333,10.2333,WW,283,16,223,,274,295,211,235
10367,49.1333,10.1833,WW,286,16,216,,279,296,202,226
10373,48.7244,9.2468,WW,286,15,208,,272,296,195,219
10374,48.75,9.4833,WW,286,10,213,,276,298,195,233
10382,48.6833,9.5167,WW,291,9,208,,282,300,199,215
10384,48.5667,9.6333,WW,277,3,222,,265,292,211,231
10387,48.6333,10.0167,WW,283,16,228,,259,301,210,241
10396,49.2167,9.1,WW,282,16,204,,270,295,195,214
10403,49.0833,9.1,WW,280,14,206,,275,284,194,220
10405,49.2667,9.4,WW,283,4,216,,274,302,207,239
10406,49.0833,9.15,WW,289,16,203,,281,307,188,214
10408,49.2333,9.3333,WW,281,3,208,,262,291,197,215
10412,49.15,9.3667,WW,289,4,203,,275,299,192,210
10416,49.3833,9.7,WW,290,16,214,,279,303,194,230
10422,48.8667,9.0333,WW,284,16,206,,276,305,194,221
10426,48.8667,8.8667,WW,285,14,210,,271,298,198,218
10427,48.7667,8.9333,WW,278,3,220,,264,293,213,224
10431,48.9667,9.1333,WW,290,16,205,,278,299,194,216
10432,49.05,9.1,WW,294,13,206,,285,311,191,217
10439,48.9,9.0833,WW,294,11,208,,283,302,194,228
10444,49.4333,10.1167,WW,275,16,213,,265,293,196,228
10449,49.4833,9.7667,WW,276,16,208,,269,289,194,222
10450,49.5333,9.9,WW,287,16,217,,274,303,198,233
10451,49.4833,10,WW,283,15,219,,264,295,196,241
10453,49.4333,9.8833,WW,274,5,203,,272,279,192,209
10458,48.65,9.4667,WW,284,16,208,,275,320,196,221
10461,48.65,9.5333,WW,288,6,213,,283,300,201,226
10467,49.2333,9.6333,WW,274,3,210,,271,279,208,213
10470,49.15,9.6167,WW,285,9,218,,274,299,203,232
10473,49.25,9.5667,WW,287,8,220,,280,294,205,230
10474,48.8,9.9333,WW,267,3,222,,264,272,219,224
10476,48.8333,9.8,WW,275,5,217,,262,296,205,229
10480,49.0167,9.9,WW,279,4,216,,277,283,212,232
10487,49.0833,9.8833,WW,282,15,216,,267,300,203,230
10491,48.5,10.1167,WW,286,16,217,,277,293,201,237
10492,48.55,9.8,WW,269,16,229,,255,284,212,241
10496,49.0667,8.8,WW,288,16,205,,274,302,191,212
10498,48.9667,8.9667,WW,297,14,206,,279,309,195,220
10511,48.8833,9.35,WW,284,15,206,,274,295,196,215
10525,49.1333,8.5833,WW,293,16,200,,271,322,183,224
10526,49.1,8.65,WW,286,16,201,,277,298,189,213
10538,49.4,9.4,WW,267,14,212,,260,281,205,222
10540,49.4,9.5667,WW,269,12,208,,263,281,192,221
10541,49.5333,9.55,WW,275,16,214,,267,296,197,235
10542,49.5333,9.3167,WW,273,16,213,,266,292,197,236
10543,49.6333,9.4167,WW,274,5,210,,273,277,197,216
10544,49.3667,9.6167,WW,282,10,208,,267,296,193,219
10549,49.4667,9.5833,WW,271,16,206,,261,285,194,214
10554,49.2833,8.7333,WW,295,4,213,,286,302,204,222
10556,49.3333,8.75,WW,266,3,204,,263,272,185,222
10560,49.25,8.7333,WW,286,5,203,,277,291,196,214
10561,49.3833,8.8,WW,282,8,206,,275,287,193,217
10564,49.2667,8.75,WW,274,15,202,,89,298,184,224
10565,49.3833,8.8833,WW,279,3,211,,276,284,210,214
10570,49.0333,8.7,WW,286,16,204,,278,296,192,216
10572,49.0833,8.3833,WW,290,16,210,,278,302,199,224
10576,49.0167,8.5,WW,293,10,202,,281,310,193,209
10578,48.9667,8.3,WW,279,11,206,,262,293,197,214
10583,49.4,8.5333,WW,283,16,204,,271,296,189,224
10597,49.4667,9.2167,WW,277,11,213,,263,289,192,227
10600,49.4167,9.2833,WW,273,16,209,,266,283,195,219
10606,48.9,8.5667,WW,290,11,205,,280,299,194,213
10612,49.1833,8.9833,WW,283,4,205,,282,284,203,208
10616,49.3333,8.9167,WW,281,7,209,,271,289,194,222
10619,49.3333,8.95,WW,280,16,208,,270,291,195,215
10622,49.0833,8.85,WW,285,16,205,,266,293,196,216
